sentence,snippets,target,sentiment_score,aspects,format,label
#Fintech provider $CAFN Cachet Financial Solutions Surging Forward today post earnings Up +13.26% https://t.co/9BJ3csk2i9 $JKHY $FISV #Momo,['Surging Forward today post earnings'],CAFN,0.418,['Corporate/Financial'],post,0
"$GLD http://stks.co/jr8 Daily chart - though RSI and Stoch. point at a possible move up, there's a lot of resistance.",['though RSI and Stoch'],GLD,0.176,['Stock/Technical Analysis'],post,0
Added more $BBBY @jimcramer is wrong about this one. Still a very profitable merchant with profitable stores,['Added more'],BBBY,0.557,['Stock/Price Action/Bullish/Bull Position'],post,0
"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",['emerge as potential bidders for'],Julius Baer,0.31,['Stock/Buyside/Stock Buyside'],headline,0
Juniper tumbles on Q1 warning; Cisco also lower $JNPR $CSCO https://t.co/bGvIntk43h,['tumbles on Q1 warning'],JNPR,-0.366,['Corporate/Financial/Financial Results/Earnings/Profit Warning'],post,2
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,['ecalling pretty much every single model'],TSLA,-0.378,['Corporate/Risks/Product Recall'],post,2
$BBRY lets see 14+ today,['lets see 14+ today'],BBRY,0.302,['Stock/Price Action/Future Price/Direction'],post,0
"$DNN picked some up, like this going into 2014","['picked some up, like this going into 2014']",DNN,0.653,['Stock/Price Action/Bullish/Bull Position'],post,0
$AVGO great growth stk &  also raised dividend . clearly a great investment http://stks.co/r2F3h,['raised dividend'],AVGO,0.597,['Corporate/Dividend Policy/Dividend/Dividend going up'],post,0
Glencore fight back over debt fears lifts shares,['over debt fears'],Glencore,0.278,['Corporate/Risks'],headline,0
"Upside moves in the volatile #mining sector, sending Anglo American PLC $AAL up 6.8% as of 4:30 PM, London time",['Upside moves in the volatile #mining secto'],AAL,0.462,['Stock/Price Action'],post,0
ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,['Farms CEO Connolly to Top Pos'],ConAgra,0.101,['Corporate/Appointment'],headline,0
$KIOR My god. Market getting crushed today. Gotta hold if anything g should recover some tomorrow I imagine.,['Market getting crushed today'],KIOR,-0.302,['Market/Market'],post,2
I see a 20 percent upside in $FB shares from here,['I see a 20 percent upside'],FB,0.589,['Stock/Price Action/Bullish'],post,0
UPDATE 5-Barclays Chairman McFarlane axes CEO to speed up strategic change,['to speed up strategic change'],Barclays,-0.229,['Corporate/Strategy'],headline,2
Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,['Has Broken Out To A New High'],Eli Lilly & Co,0.516,['Stock/Technical Analysis/Volume/Unusually high volume'],headline,0
Buffett's Company Reports 37 Percent Drop in 2Q Earnings,['Reports 37 Percent Drop in 2Q Earnings'],Berkshire Hathaway Inc.,-0.566,['Corporate/Company Communication'],headline,2
Glencore slumps 25 pct as debt fears grow,['debt fears grow'],Glencore,-0.718,['Corporate/Risks'],headline,2
WPP boosts sales despite cautious clients,['boosts sales'],WPP,0.251,['Corporate/Sales'],headline,0
CompaniesMeggitt profits hit by weak energy and military markets,['profits hit by weak energy and military markets'],Meggitt,-0.302,['Market/Market'],headline,2
$amzn breaking,['breaking'],AMZN,0.251,['Stock/Price Action'],post,0
$SPY http://stks.co/1MiR We're holding above Wednesday and Thursday closes. I'm leaning bullish. Small postions. Waiting.,"[""We're holding above Wednesday and Thursday closes. I'm leaning bullish""]",SPY,0.316,['Stock/Price Action/Bullish'],post,0
NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,['owner ICE may gatecrash Deutsche Boerse-LSE merger'],LSE,-0.2,['Corporate/M&A/Proposed Merger'],headline,2
$NQ got hit hard lower this AM --> looks like it has found support a 18.89 http://stks.co/s052z,['looks like it has found support'],NQ,-0.551,['Stock/Price Action'],post,2
Breaking: Tesla recalls all Model X cars  .. details on show now $TSLA,['recalls all Model X cars'],TSLA,-0.308,['Corporate/Risks/Product Recall'],post,2
RBI surprises Street; Sensex pares gains after hitting mount 30k,['Sensex pares gains'],Sensex,-0.216,['Stock/Price Action'],headline,2
"Long Position on $GOL,...Updating http://stks.co/fdmm",['Long Position'],GOL,0.674,['Stock/Price Action/Bullish/Bull Position'],post,0
Diageo Shares Surge on Report of Possible Takeover by Lemann,['Diageo Shares Surge'],Lemann,0.415,['Stock/Technical Analysis/Trend/Trending up'],headline,0
$LUV Continues to consolidate above previous break out area...,['ontinues to consolidate above previous break out area'],LUV,0.227,['Stock/Price Action/Bullish'],post,0
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,['to Acquire AdeS Soy-Based Beverage Business From Unilever'],Coca-Cola Companp,0.259,['Corporate/M&A/M&A'],headline,0
$GOOGL is setting up above its 50-day moving average. https://t.co/tTm9RnFoXJ,['is setting up above its 50-day moving average'],GOOGL,0.516,['Stock/Technical Analysis'],post,0
Verizon and AT&T accused of hurting rivals,['accused of hurting rivals'],Verizon,-0.446,['Corporate/Regulatory'],headline,2
@catskillfishing  Note the monthly chart of $GDX & how it recaptured support. $GLD possible double bottom set up. http://stks.co/aw6z,['possible double bottom set up'],GLD,0.272,['Stock/Technical Analysis'],post,0
Royal Mail gets mixed bag from Ofcom postal regulation report,['postal regulation report'],Royal Mail,-0.084,['Corporate/Regulatory'],headline,1
$AAPL 620 resistance area,['620 resistance area'],AAPL,-0.025,['Stock/Technical Analysis'],post,1
$MPWR CEO sells 450k april 15th..meh,['CEO sells 450k'],MPWR,-0.195,['Stock/Insider Activity/Insider Selling'],post,2
"Tesla is recalling 2,700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA","['recalling 2,700 Model X cars']",TSLA,-0.291,['Corporate/Risks/Product Recall'],post,2
@ACInvestorBlog: $SPY eod run :),['eod run :)'],SPY,0.391,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
TripAdvisor jumps on M&A rumors https://t.co/O4lwCDXMbr $TRIP,['jumps on M&A rumors'],TRIP,0.47,['Corporate/M&A'],post,0
"Britain's FTSE bounces back, Mondi and Barratt lead",['Mondi and Barratt lead'],Barratt,0.558,['Stock/Price Action'],headline,0
UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,['of illegal tips to plumber'],Barclays,-0.34,['Stock/Insider Activity'],headline,2
Royal Dutch Shell profit rises; dividend up 4%,['dividend up 4%'],Royal Dutch Shell,0.65,['Corporate/Dividend Policy'],headline,0
Amazon's grocery deal with Morrisons is only the beginning,['grocery deal with Morrisons '],Morrisons,0.389,['Corporate/Sales/Deal'],headline,0
Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,['as sole legal seller of Libyan oil'],Glencore,0.037,['Corporate/Legal'],headline,1
Standard Chartered's Shares Plunge 7% After Fitch Downgrade,['Shares Plunge 7%'],Standard Chartered,-0.812,['Stock/Coverage'],headline,2
"Rio Tinto swings to loss, drops dividend policy",['drops dividend policy'],Rio Tinto,-0.511,['Corporate/Dividend Policy'],headline,2
Lloyds to cut 945 jobs as part of three-year restructuring strategy,['as part of three-year restructuring strategy'],Lloyds,-0.532,['Corporate/Strategy/Reorganization'],headline,2
Kingfisher takeover of Mr Bricolage could hit a brick wall,['Kingfisher takeover of Mr Bricolage could hit a brick wall'],Mr Bricolage,-0.311,['Corporate/M&A/Proposed Merger'],headline,2
Deutsche Bank downgrades Starbucks because of new loyalty program https://t.co/Iy4LCUGABc $SBUX,['Deutsche Bank downgrades Starbucks'],SBUX,-0.436,['Stock/Coverage/AnalystRatings/Downgrade'],post,2
$NIHD insiders got this one wrong. Looking for bottom. Rsi under 30,['Looking for bottom. Rsi under 30'],NIHD,-0.202,['Stock/Technical Analysis'],post,2
MarketsBP promotes upstream boss to deputy CEO,['promotes upstream boss to deputy CEO'],BP,0.066,['Corporate/Appointment'],headline,1
$CSX another strong rail today after breaking intraday resistance at 1$9.80 https://t.co/eA4FBVuqGP,['strong rail today after breaking intraday resistance'],CSX,0.468,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",['faces a different technical test today'],NFLX,0.102,['Stock/Technical Analysis'],post,0
Valeant CEO Pledges to Heed Critics After `Painful' Experience,['Heed Critics After `Painful' Experience'],Valeant,-0.381,['Corporate/Company Communication'],headline,2
Aviva shuts Friends Life head office in rapid integration move,['shuts Friends Life head office in rapid integration move'],Friends Life,-0.09,['Corporate/Strategy/Corporate Expansion'],headline,1
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,['shares have seen recent volatility'],Astrazeneca,-0.12,['Market/Volatility'],headline,2
Arm profits and sales up as shift away from mobile gains pace,['profits and sales up'],Arm,0.497,['Corporate/Sales'],headline,0
$GDX $GDXJ $JNUG - strong move today for the Junior Gold Miners - keep an EYE out for a gap fill -,['strong move today'],JNUG,0.55,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
"DJI overbought: $AAPL, $AXP, $BA, $CVX, $IBM, $INTC, $VZ https://t.co/wMy1PnomJF",['DJI overbought'],VZ,-0.296,['Stock/Price Action/Bearish'],post,2
Costco: A Premier Retail Dividend Play https://t.co/J3UhTs022M $COST,['Dividend Play'],COST,0.463,['Corporate/Dividend Policy'],post,0
$GALE Breakout Coming Soon!,['Breakout Coming Soon!'],GALE,0.465,['Stock/Technical Analysis/Breakout'],post,0
Barclays sells benchmark indices unit to Bloomberg,['sells benchmark indices unit'],Bloomberg,0.281,['Corporate/Strategy/Divestment'],headline,0
Australia clears AB Inbev's $100 billion SABMiller buyout plan,['SABMiller buyout plan'],AB InBrev,0.437,['Corporate/Strategy/Buyout'],headline,0
Aberdeen Asset Management Gains Foothold In China,['Gains Foothold In China'],Aberdeen Asset Managment,0.357,['Corporate/Strategy'],headline,0
AstraZeneca share price: Acerta deal pays off with orphan drug status,['share price: Acerta deal pays off'],AstraZeneca,0.495,['Corporate/M&A'],headline,0
$ENB.CA {Head&Shoulders} bullish reversal setup and breakout. Oil and Gas Pipleline stock. $USO,['{Head&Shoulders} bullish reversal setup and breakout'],USO,0.253,['Stock/Technical Analysis'],post,0
Merged LSE and Deutsche BÃÂ¶rse would be led by Germany's Kengeter,['Merged LSE and Deutsche BÃÂ¶rse'],LSE,0.136,['Corporate/M&A/M&A'],headline,0
$RIMM $spx $nya $compq $djia all going down,['all going down'],SPX,-0.559,['Stock/Price Action/Bearish'],post,2
Long $TSLA short $MBLY https://t.co/jSpUSzo6na,['ong $TSLA short $MBLY'],TSLA,0.607,['Stock/Price Action'],post,0
$ETN UPGRADE today by MS to overweight.  Excellent company and leadership,['UPGRADE today by MS to overweight.'],ETN,0.685,['Stock/Coverage/AnalystRatings/Upgrade'],post,0
Long $PCLN,['Long'],PCLN,0.663,['Stock/Price Action/Bullish/Bull Position'],post,0
"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack",['to Withdraw Staff From'],Statoil,-0.242,['Corporate/Appointment/Staff Hiring'],headline,2
"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.",['looking for a sharp move up in equities'],LOW,0.368,['Stock/Price Action/Bullish'],post,0
Entertainment One dispels ITV takeover rumours,['One dispels ITV takeover rumours'],Entertainment One,0.138,['Corporate/Rumors'],headline,0
Timberrrr $TSLA https://t.co/MRBgfDHHVa,['Timberrrr'],TSLA,-0.562,['Stock/Price Action'],post,2
BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,['to buy Wilshire Bancorp in $1 bln deal'],Wilshire Bancorp,0.818,['Corporate/M&A'],headline,0
Passengers rise at EasyJet and Aer Lingus,['rise at EasyJet and Aer Lingus'],EasyJet,0.329,['Corporate/Sales/Sales'],headline,0
$NVDA sideways,['sideways'],NVDA,0.0,['Stock/Price Action'],post,1
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,['Royal Dutch Shell to Buy BG Group for Nearly $70 Billion'],Royal Dutch Shell,0.259,['Corporate/M&A/M&A'],headline,0
Tesco share price tumbles after negative broker note,['share price tumbles a'],Tesco,-0.779,['Stock/Price Action'],headline,2
"$amrn Full bull call spread ranging July to Jan 15. Lets see what this baby does,",['Full bull call spread ranging July to Jan'],AMRN,0.681,['Stock/Options/Strategies/Bull Call Spread'],post,0
loading $SPY and $AAPL puts. think were toppy IMHO.,['think were toppy'],SPY,-0.537,['Stock/Price Action/Bearish'],post,2
$ES_F. Nice little cup-and-handle shaping up on the 15-minute. End-of-day $SPY $SPX favours a good day for the index. Will we see a gap open,['Nice little cup-and-handle shaping up on the 15-minute'],SPY,0.341,['Stock/Technical Analysis'],post,0
$SPY Looks like bear traps getting laid faster than Cadbury Creme Eggs by the Easter Bunny,['Looks like bear traps getting laid'],SPY,0.351,['Stock/Price Action/Bullish'],post,0
$ROST Ross Stores Upgraded to Outperform at RBC Capital Markets http://stks.co/j0Q9t,['Upgraded to Outperform'],ROST,0.565,['Stock/Coverage/AnalystRatings/Upgrade'],post,0
$Oil slid to a four-year low after #OPEC kept its oil production unchanged  http://stks.co/a1IX4 $USO $WTI $Brent,['slid to a four-year low'],WTI,-0.369,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
Tesco sales recover as focus returns to core business,['sales recover'],Tesco,0.35,['Corporate/Sales'],headline,0
$RNN More bleeding Monday.,['More bleeding Monday.'],RNN,-0.465,['Stock/Price Action/Bearish'],post,2
Daily Mail parent company in talks with potential partners about joint bid for Yahoo's internet assets: https://t.co/mK7MEMtADT $YHOO,['parent company in talks with potential partners'],YHOO,0.228,['Corporate/M&A'],post,0
"Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ...",['agree to pay $2 billion to settle forex .'],Citi,-0.647,['Corporate/Legal/Settlement'],headline,2
$STX move off the bottom but still in bear market #datasecurity $EMC $SNDK $WDC https://t.co/VkYdWPxeSN,['move off the bottom but still in bear marke'],WDC,-0.421,['Market/Market'],post,2
"Standard Chartered, RBS Escape Capital Raising in Stress Test",['Escape Capital Raising in Stress Test'],RBS,0.335,['Economy/Central Banks'],headline,0
$AMZN long into earnings. looks good over 600,['long into earnings. looks good over 600'],AMZN,0.613,['Stock/Price Action/Bullish/Bull Position'],post,0
Held its recent double bottom buy point of 56.57 almost to the penny today $WMT http://chart.ly/6nosp5q,['Held its recent double bottom buy point'],WMT,0.198,['Stock/Technical Analysis'],post,0
Berkshire seeks to boost its Wells Fargo stake above 10 percent,['seeks to boost its Wells Fargo stake above 10 percen'],Wells Fargo,0.429,['Stock/Signal/Buy Signal'],headline,0
$INTC finally some nice downside move... looking for the 31 handle to break,['finally some nice downside move'],INTC,-0.462,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
"CompaniesNew Aggreko CEO to reshape business, strip costs","['to reshape business, strip costs']",Aggreko,0.177,['Corporate/Strategy'],headline,0
$UGAZ Will this cold put a dent in the massive horizontal rig production. Who knows  http://stks.co/p1V6P,['Will this cold put a dent in the massive horizontal rig production'],UGAZ,-0.237,['Corporate/Risks/Halt in Services'],post,2
"$INTU is in the process of streamlining its structure, especially through divestment of non-core businesses   https://t.co/dR5baNun2u",['is expanding its research facilities'],INTU,0.229,['Corporate/Strategy'],post,0
Tesco leads FTSE higher on Clubcard bid reports,['Clubcard bid reports'],Tesco,0.453,['Corporate/Rumors'],headline,0
pretty steady accumulation off support today.  Purdy. $AGU,['pretty steady accumulation off support today'],AGU,0.464,['Stock/Price Action'],post,0
Market Report: Aviva tops the market as traders approve of its choice of Friends,['Aviva tops the market'],Friends,0.443,['Market/Market/Market Trend'],headline,0
